lib	M	K	N	min_elapsed	mean_elapsed
Matmul_1_1 Kernel 8x8	64	576	2916	106080	107035	
Matmul_1_2 Kernel 8x8	64	576	2916	228344	228903	
Matmul_2_2 Kernel 8x8	64	576	2916	1045527	1.04981e+06	
OneDNN	64	576	2916	1465041	1.46712e+06	
BLIS	64	576	2916	2557673	2.56196e+06	
FBGEMM-8bits	64	576	2916	2698840	2.82089e+06	
Matmul_1_1 Kernel 8x8	128	576	2916	211882	213672	
Matmul_1_2 Kernel 8x8	128	576	2916	460048	461369	
Matmul_2_2 Kernel 8x8	128	576	2916	2093462	2.10237e+06	
OneDNN	128	576	2916	2926737	2.93059e+06	
BLIS	128	576	2916	5074658	5.08116e+06	
FBGEMM-8bits	128	576	2916	3057245	3.17937e+06	
Matmul_1_1 Kernel 8x8	128	1152	676	94722	95164.9	
Matmul_1_2 Kernel 8x8	128	1152	676	201387	201757	
Matmul_2_2 Kernel 8x8	128	1152	676	871200	876619	
OneDNN	128	1152	676	1322515	1.3249e+06	
BLIS	128	1152	676	2171024	2.17502e+06	
FBGEMM-8bits	128	1152	676	1458206	1.48905e+06	
Matmul_1_1 Kernel 8x8	256	1152	676	189408	190232	
Matmul_1_2 Kernel 8x8	256	1152	676	403679	404464	
Matmul_2_2 Kernel 8x8	256	1152	676	1768248	1.77574e+06	
OneDNN	256	1152	676	2632753	2.63669e+06	
BLIS	256	1152	676	4339964	4.36149e+06	
FBGEMM-8bits	256	1152	676	1737140	1.78836e+06	
Matmul_1_1 Kernel 8x8	256	2304	144	77609	77826.4	
Matmul_1_2 Kernel 8x8	256	2304	144	161553	162640	
Matmul_2_2 Kernel 8x8	256	2304	144	673967	675623	
OneDNN	256	2304	144	1125737	1.12894e+06	
BLIS	256	2304	144	1729295	1.73158e+06	
FBGEMM-8bits	256	2304	144	730933	735416	
Matmul_1_1 Kernel 8x8	512	2304	144	155271	155635	
Matmul_1_2 Kernel 8x8	512	2304	144	324400	324848	
Matmul_2_2 Kernel 8x8	512	2304	144	1362935	1.3663e+06	
OneDNN	512	2304	144	2248379	2.25459e+06	
BLIS	512	2304	144	3477361	3.54508e+06	
FBGEMM-8bits	512	2304	144	989739	1.00291e+06	
Matmul_1_1 Kernel 8x8	512	4608	25	68787	69049.1	
Matmul_1_2 Kernel 8x8	512	4608	25	142327	142591	
Matmul_2_2 Kernel 8x8	512	4608	25	581342	582974	
OneDNN	512	4608	25	1056000	1.05803e+06	
BLIS	512	4608	25	2031172	2.03412e+06	
FBGEMM-8bits	512	4608	25	563041	586841	
